"TIME","GEO","NRG_BAL","SIEC","UNIT","Value"
"2013","Luxembourg","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2013","Luxembourg","Inland consumption - calculated","Solar thermal","Terajoule","68.370"
"2013","Luxembourg","Inland consumption - calculated","Primary solid biofuels","Terajoule","1,972.273"
"2013","Luxembourg","Inland consumption - calculated","Biogases","Terajoule","653.087"
"2013","Luxembourg","Inland consumption - calculated","Renewable municipal waste","Terajoule","463.208"
"2013","Hungary","Inland consumption - calculated","Geothermal","Terajoule","4,721.000"
"2013","Hungary","Inland consumption - calculated","Solar thermal","Terajoule","368.000"
"2013","Hungary","Inland consumption - calculated","Primary solid biofuels","Terajoule","110,331.000"
"2013","Hungary","Inland consumption - calculated","Biogases","Terajoule","3,336.000"
"2013","Hungary","Inland consumption - calculated","Renewable municipal waste","Terajoule","2,138.000"
"2013","Malta","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2013","Malta","Inland consumption - calculated","Solar thermal","Terajoule","182.810"
"2013","Malta","Inland consumption - calculated","Primary solid biofuels","Terajoule","36.000"
"2013","Malta","Inland consumption - calculated","Biogases","Terajoule","59.000"
"2013","Malta","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2013","Netherlands","Inland consumption - calculated","Geothermal","Terajoule","993.000"
"2013","Netherlands","Inland consumption - calculated","Solar thermal","Terajoule","1,106.000"
"2013","Netherlands","Inland consumption - calculated","Primary solid biofuels","Terajoule","51,714.000"
"2013","Netherlands","Inland consumption - calculated","Biogases","Terajoule","12,777.000"
"2013","Netherlands","Inland consumption - calculated","Renewable municipal waste","Terajoule","40,689.000"
"2013","Austria","Inland consumption - calculated","Geothermal","Terajoule","1,527.298"
"2013","Austria","Inland consumption - calculated","Solar thermal","Terajoule","7,390.330"
"2013","Austria","Inland consumption - calculated","Primary solid biofuels","Terajoule","208,770.105"
"2013","Austria","Inland consumption - calculated","Biogases","Terajoule","8,006.158"
"2013","Austria","Inland consumption - calculated","Renewable municipal waste","Terajoule","6,366.289"
"2013","Poland","Inland consumption - calculated","Geothermal","Terajoule","778.000"
"2013","Poland","Inland consumption - calculated","Solar thermal","Terajoule","1,035.000"
"2013","Poland","Inland consumption - calculated","Primary solid biofuels","Terajoule","286,243.000"
"2013","Poland","Inland consumption - calculated","Biogases","Terajoule","7,593.000"
"2013","Poland","Inland consumption - calculated","Renewable municipal waste","Terajoule","1,391.000"
"2013","Portugal","Inland consumption - calculated","Geothermal","Terajoule","7,551.000"
"2013","Portugal","Inland consumption - calculated","Solar thermal","Terajoule","3,046.000"
"2013","Portugal","Inland consumption - calculated","Primary solid biofuels","Terajoule","97,645.000"
"2013","Portugal","Inland consumption - calculated","Biogases","Terajoule","2,763.000"
"2013","Portugal","Inland consumption - calculated","Renewable municipal waste","Terajoule","4,049.000"
