TIME,GEO,SIEC,PLANT_TEC,UNIT,Value,rank
2012,Belgium,Solid Biofuels,Net maximum electrical capacity,Megawatt,678,0
2012,Bulgaria,Hydro,Net maximum electrical capacity,Megawatt,3181,0
2012,Bulgaria,Wind,Net maximum electrical capacity,Megawatt,677,0
2012,Bulgaria,Solar,Net maximum electrical capacity,Megawatt,1013,0
2012,Bulgaria,Solid Biofuels,Net maximum electrical capacity,Megawatt,14,0
2012,Czechia,Hydro,Net maximum electrical capacity,Megawatt,2212,0
2012,Czechia,Wind,Net maximum electrical capacity,Megawatt,258,0
2012,Czechia,Solar,Net maximum electrical capacity,Megawatt,2022,0
2012,Czechia,Solid Biofuels,Net maximum electrical capacity,Megawatt,330,0
2012,Denmark,Hydro,Net maximum electrical capacity,Megawatt,9.26,0
2012,Denmark,Wind,Net maximum electrical capacity,Megawatt,4161.94,0
2012,Denmark,Solar,Net maximum electrical capacity,Megawatt,402,0
2012,Denmark,Solid Biofuels,Net maximum electrical capacity,Megawatt,1155.55,0
2012,Germany,Hydro,Net maximum electrical capacity,Megawatt,11257,0
2012,Germany,Hydro,Net maximum electrical capacity,Megawatt,11257,1
2012,Germany,Hydro,Net maximum electrical capacity,Megawatt,11257,2
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979,0
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979,1
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979,2
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979,3
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979,4
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979,5
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979,6
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979,7
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979,8
2012,Germany,Wind,Net maximum electrical capacity,Megawatt,30979,9
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,0
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,1
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,2
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,3
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,4
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,5
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,6
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,7
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,8
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,9
2012,Germany,Solar,Net maximum electrical capacity,Megawatt,34077,10
2012,Germany,Solid Biofuels,Net maximum electrical capacity,Megawatt,1558,0
2012,Estonia,Hydro,Net maximum electrical capacity,Megawatt,8,0
2012,Estonia,Wind,Net maximum electrical capacity,Megawatt,266,0
2012,Estonia,Solar,Net maximum electrical capacity,Megawatt,0,0
2012,Estonia,Solid Biofuels,Net maximum electrical capacity,Megawatt,163,0
2012,Ireland,Hydro,Net maximum electrical capacity,Megawatt,529,0
2012,Ireland,Wind,Net maximum electrical capacity,Megawatt,1704.35,0
2012,Ireland,Solar,Net maximum electrical capacity,Megawatt,0.94,0
2012,Ireland,Solid Biofuels,Net maximum electrical capacity,Megawatt,5.45,0
2012,Greece,Hydro,Net maximum electrical capacity,Megawatt,3236,0
2012,Greece,Wind,Net maximum electrical capacity,Megawatt,1753,0
2012,Greece,Solar,Net maximum electrical capacity,Megawatt,1536,0
2012,Greece,Solid Biofuels,Net maximum electrical capacity,Megawatt,0,0
2012,Spain,Hydro,Net maximum electrical capacity,Megawatt,18550,0
2012,Spain,Hydro,Net maximum electrical capacity,Megawatt,18550,1
