"TIME","GEO","PLANT_TEC","UNIT","Value"
"2014","Bulgaria","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2014","Bulgaria","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2014","Bulgaria","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2014","Czechia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2014","Czechia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2014","Czechia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2014","Denmark","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2014","Denmark","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2014","Denmark","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2014","Germany (until 1990 former territory of the FRG)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","307.700"
"2014","Germany (until 1990 former territory of the FRG)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2014","Germany (until 1990 former territory of the FRG)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2014","Estonia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2014","Estonia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2014","Estonia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2014","Ireland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2014","Ireland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2014","Ireland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2014","Greece","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2014","Greece","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2014","Greece","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2014","Spain","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","324.800"
"2014","Spain","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2014","Spain","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
