Continent,Year,Source,Value
North America,2018,Fossil,47035.895
North America,2018,Nuclear,4173.7817
North America,2018,Renewables,6392.865
North America,2019,Fossil,46163.9
North America,2019,Nuclear,4128.1025
North America,2019,Renewables,6453.2695
North America,2020,Fossil,41585.496
North America,2020,Nuclear,3986.994
North America,2020,Renewables,6682.4194
North America,2021,Fossil,43781.266
North America,2021,Nuclear,3887.9617
North America,2021,Renewables,6915.6455
North America,2022,Fossil,44720.008
North America,2022,Nuclear,3790.8274
North America,2022,Renewables,7426.0054
Oceania,1965,Fossil,25772.75
Oceania,1965,Nuclear,0
Oceania,1965,Renewables,3244.4958
Oceania,1966,Fossil,26603.018
Oceania,1966,Nuclear,0
Oceania,1966,Renewables,3250.6318
Oceania,1967,Fossil,27543.777
Oceania,1967,Nuclear,0
Oceania,1967,Renewables,3264.8193
Oceania,1968,Fossil,28527.79
Oceania,1968,Nuclear,0
Oceania,1968,Renewables,3371.0913
Oceania,1969,Fossil,29060.955
Oceania,1969,Nuclear,0
Oceania,1969,Renewables,3404.1892
Oceania,1970,Fossil,31001.178
Oceania,1970,Nuclear,0
Oceania,1970,Renewables,3695.2622
Oceania,1971,Fossil,31394.566
Oceania,1971,Nuclear,0
Oceania,1971,Renewables,4045.0222
Oceania,1972,Fossil,32252.861
Oceania,1972,Nuclear,0
Oceania,1972,Renewables,4089.6755
Oceania,1973,Fossil,33892.684
Oceania,1973,Nuclear,0
Oceania,1973,Renewables,4103.809
Oceania,1974,Fossil,35030.176
Oceania,1974,Nuclear,0
Oceania,1974,Renewables,4404.6685
Oceania,1975,Fossil,34796.38
Oceania,1975,Nuclear,0
Oceania,1975,Renewables,4693.034
Oceania,1976,Fossil,35958.395
Oceania,1976,Nuclear,0
Oceania,1976,Renewables,4367.676
Oceania,1977,Fossil,37516.145
Oceania,1977,Nuclear,0
Oceania,1977,Renewables,4110.7554
Oceania,1978,Fossil,37866.297
Oceania,1978,Nuclear,0
Oceania,1978,Renewables,4335.232
Oceania,1979,Fossil,38533.074
Oceania,1979,Nuclear,0
Oceania,1979,Renewables,4578.1367
Oceania,1980,Fossil,38148.227
Oceania,1980,Nuclear,0
Oceania,1980,Renewables,4544.1035
Oceania,1981,Fossil,38086.676
Oceania,1981,Nuclear,0
Oceania,1981,Renewables,4566.09
Oceania,1982,Fossil,37624.684
Oceania,1982,Nuclear,0
Oceania,1982,Renewables,4202.948
Oceania,1983,Fossil,35984.516
Oceania,1983,Nuclear,0
Oceania,1983,Renewables,4228.5396
Oceania,1984,Fossil,36902.535
Oceania,1984,Nuclear,0
Oceania,1984,Renewables,4385.388
Oceania,1985,Fossil,37443.95
Oceania,1985,Nuclear,0
Oceania,1985,Renewables,4328.519
Oceania,1986,Fossil,37768.434
Oceania,1986,Nuclear,0
Oceania,1986,Renewables,4566.258
Oceania,1987,Fossil,38360.574
Oceania,1987,Nuclear,0
Oceania,1987,Renewables,4429.4785
Oceania,1988,Fossil,39424.816
Oceania,1988,Nuclear,0
Oceania,1988,Renewables,4593.2783
Oceania,1989,Fossil,40793.16
Oceania,1989,Nuclear,0
Oceania,1989,Renewables,4528.3594
